"file","replicate","experiment","fraction"
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-33_C9_01_4826.d","rep1","F33",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-34_C10_01_4827.d","rep1","F34",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-35_C11_01_4828.d","rep1","F35",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-36_C12_01_4829.d","rep1","F36",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-37_D1_01_4830.d","rep1","F37",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-38_D2_01_4831.d","rep1","F38",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-39_D3_01_4832.d","rep1","F39",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-40_D4_01_4833.d","rep1","F40",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-41_D5_01_4835.d","rep1","F41",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-42_D6_01_4836.d","rep1","F42",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-43_D7_01_4837.d","rep1","F43",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-44_D8_01_4838.d","rep1","F44",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-45_D9_01_4839.d","rep1","F45",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F12_F12_01_6169.d","rep2","F12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G01_G1_01_6239.d","rep2","G01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G02_G2_01_6177.d","rep2","G02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G03_G3_01_6178.d","rep2","G03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G04_G4_01_6240.d","rep2","G04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G05_G5_01_6193.d","rep2","G05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G06_G6_01_6241.d","rep2","G06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G07_G7_01_6242.d","rep2","G07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G08_G8_01_6256.d","rep2","G08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G09_G9_01_6273.d","rep2","G09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G010_G10_01_6268.d","rep2","G01",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G011_G11_01_6269.d","rep2","G11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-G012_G12_01_6270.d","rep2","G12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C01_C1_01_6030.d","rep2","C01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C02_C2_01_6031.d","rep2","C02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C03_C3_01_6032.d","rep2","C03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C04_C4_01_6033.d","rep2","C04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C05_C5_01_6034.d","rep2","C05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C06_C6_01_6035.d","rep2","C06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C07_C7_01_6036.d","rep2","C07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C08_C8_01_6037.d","rep2","C08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C09_C9_01_6038.d","rep2","C09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C10_C10_01_6039.d","rep2","C01",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C11_C11_01_6041.d","rep2","C11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-C12_C12_01_6042.d","rep2","C12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D01_D1_01_6043.d","rep2","D01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D02_D2_01_6044.d","rep2","D02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D03_D3_01_6045.d","rep2","D03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D04_D4_01_6046.d","rep2","D04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D04_D4_01_6202.d","rep2","D04",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D05_D5_01_6047.d","rep2","D05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D06_D6_01_6048.d","rep2","D06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D06_D6_01_6204.d","rep2","D06",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D07_D7_01_6050.d","rep2","D07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D07_D7_01_6205.d","rep2","D07",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D08_D8_01_6051.d","rep2","D08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D08_D8_01_6206.d","rep2","D08",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D09_D9_01_6052.d","rep2","D09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D09_D9_01_6207.d","rep2","D09",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D10_D10_01_6208.d","rep2","D01",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D11_D11_01_6054.d","rep2","D11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D11_D11_01_6209.d","rep2","D11",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D12_D12_01_6055.d","rep2","D12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-D12_D12_01_6211.d","rep2","D12",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E01_E1_01_6212.d","rep2","E01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E02_E2_01_6213.d","rep2","E02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E03_E3_01_6214.d","rep2","E03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E04_E4_01_6215.d","rep2","E04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E05_E5_01_6216.d","rep2","E05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E06_E6_01_6217.d","rep2","E06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E07_E7_01_6083.d","rep2","E07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E08_E8_01_6084.d","rep2","E08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E08_E8_01_6219.d","rep2","E08",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E09_E9_01_6237.d","rep2","E09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E09_E9_01_6274.d","rep2","E09",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E10_E10_01_6090.d","rep2","E01",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E11_E11_01_6091.d","rep2","E11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-E12_E12_01_6092.d","rep2","E12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F01_F1_01_6096.d","rep2","F01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F02_F2_01_6097.d","rep2","F02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F02_F2_01_6223.d","rep2","F02",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F03_F3_01_6098.d","rep2","F03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F03_F3_01_6224.d","rep2","F03",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F04_F4_01_6099.d","rep2","F04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-2017-01-F04_F4_01_6225.d","rep2","F04",2
