Name	Fraction	Experiment
PT1541S1F00	1	rep1
PT1541S1F01	2	rep1
PT1541S1F02	3	rep1
PT1541S1F03	4	rep1
PT1541S1F04	5	rep1
PT1541S1F05	6	rep1
PT1541S1F06	7	rep1
PT1541S1F07	8	rep1
PT1541S1F08	9	rep1
PT1541S1F09	10	rep1
PT1541S1F10	11	rep1
PT1541S1F11	12	rep1
PT1541S1F12	13	rep1
PT1541S1F13	14	rep1
PT1541S1F14	15	rep1
PT1541S1F15	16	rep1
PT1541S1F16	17	rep1
PT1541S1F17	18	rep1
PT1541S1F18	19	rep1
PT1541S1F19	20	rep1
PT1541S1F20	21	rep1
PT1541S1F21	22	rep1
PT1541S1F22	23	rep1
PT1541S1F23	24	rep1
PT1541S1F24	25	rep1
PT1541S1F25	26	rep1
PT1541S1F26	27	rep1
PT1541S1F27	28	rep1
PT1541S1F28	29	rep1
PT1541S1F29	30	rep1
PT1541S1F30	31	rep1
PT1541S1F31	32	rep1
PT1541S1F32	33	rep1
PT1541S1F33	34	rep1
PT1541S1F34	35	rep1
PT1541S1F35	36	rep1
PT1541S1F36	37	rep1
PT1541S1F37	38	rep1
PT1541S1F38	39	rep1
PT1541S1F39	40	rep1
PT1781S1F01	41	rep2
PT1781S1F02	42	rep2
PT1781S1F03	43	rep2
PT1781S1F04	44	rep2
PT1781S1F05	45	rep2
PT1781S1F06	46	rep2
PT1781S1F07	47	rep2
PT1781S1F08	48	rep2
PT1781S1F09	49	rep2
PT1781S1F10	50	rep2
PT1781S1F11	51	rep2
PT1781S1F12	52	rep2
PT1781S1F13	53	rep2
PT1781S1F14	54	rep2
PT1781S1F15	55	rep2
PT1781S1F16	56	rep2
PT1781S1F17	57	rep2
PT1781S1F18	58	rep2
PT1781S1F19	59	rep2
PT1781S1F20	60	rep2
PT1781S1F21	61	rep2
PT1781S1F22	62	rep2
PT1781S1F23	63	rep2
PT1781S1F24	64	rep2
PT1781S1F25	65	rep2
PT1781S1F26	66	rep2
PT1781S1F27	67	rep2
PT1781S1F28	68	rep2
PT1781S1F29	69	rep2
PT1781S1F30	70	rep2
PT1781S1F31	71	rep2
PT1781S1F32	72	rep2
PT1781S1F33	73	rep2
PT1781S1F34	74	rep2
PT1781S1F35	75	rep2
PT1781S1F36	76	rep2
PT1781S1F37	77	rep2
PT1781S1F38	78	rep2
PT1781S1F39	79	rep2
PT1781S1F40	80	rep2
PT2003S1F01	81	rep3
PT2003S1F02	82	rep3
PT2003S1F03	83	rep3
PT2003S1F04	84	rep3
PT2003S1F05	85	rep3
PT2003S1F06	86	rep3
PT2003S1F07	87	rep3
PT2003S1F08	88	rep3
PT2003S1F09	89	rep3
PT2003S1F10	90	rep3
PT2003S1F11	91	rep3
PT2003S1F12	92	rep3
PT2003S1F13	93	rep3
PT2003S1F14	94	rep3
PT2003S1F15	95	rep3
PT2003S1F16	96	rep3
PT2003S1F17	97	rep3
PT2003S1F18	98	rep3
PT2003S1F19	99	rep3
PT2003S1F20	100	rep3
PT2003S1F21	101	rep3
PT2003S1F22	102	rep3
PT2003S1F23	103	rep3
PT2003S1F24	104	rep3
PT2003S1F25	105	rep3
PT2003S1F26	106	rep3
PT2003S1F27	107	rep3
PT2003S1F28	108	rep3
PT2003S1F29	109	rep3
PT2003S1F30	110	rep3
PT2003S1F31	111	rep3
PT2003S1F32	112	rep3
PT2003S1F33	113	rep3
PT2003S1F34	114	rep3
PT2003S1F35	115	rep3
PT2003S1F36	116	rep3
PT2003S1F37	117	rep3
PT2003S1F38	118	rep3
PT2003S1F39	119	rep3
PT2003S1F40	120	rep3
