"replicate","experiment","fraction","file"
"SEC1","fraction33",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction33.raw"
"SEC1","fraction34",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction34.raw"
"SEC1","fraction35",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction35.raw"
"SEC1","fraction36",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction36.raw"
"SEC1","fraction37",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction37.raw"
"SEC1","fraction38",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction38.raw"
"SEC1","fraction38",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction38version2.raw"
"SEC1","fraction39",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction39.raw"
"SEC1","fraction39",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction39version2.raw"
"SEC1","fraction39",3,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction39version3.raw"
"SEC1","fraction40",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction40.raw"
"SEC1","fraction40",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction40version2.raw"
"SEC1","fraction40",3,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction40version3.raw"
"SEC1","fraction41",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction41.raw"
"SEC1","fraction41",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction41version2.raw"
"SEC1","fraction41",3,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction41version3.raw"
"SEC1","fraction42",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction42.raw"
"SEC1","fraction42",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction42version2.raw"
"SEC1","fraction43",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction43.raw"
"SEC1","fraction43",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction43version2.raw"
"SEC1","fraction44",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction44.raw"
"SEC1","fraction45",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction45.raw"
"SEC1","fraction46",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction46.raw"
"SEC1","fraction47",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction47.raw"
"SEC1","fraction48",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction48.raw"
"SEC1","fraction49",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction49.raw"
"SEC1","fraction50",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction50.raw"
"SEC1","fraction51",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction51.raw"
"SEC1","fraction52",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction52.raw"
"SEC1","fraction53",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction53.raw"
"SEC1","fraction54",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction54.raw"
"SEC1","fraction55",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction55.raw"
"BN1","fraction01",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction01.raw"
"BN1","fraction01",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction01rep.raw"
"BN1","fraction02",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction02.raw"
"BN1","fraction02",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction02rep.raw"
"BN1","fraction03",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction03.raw"
"BN1","fraction03",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction03rep.raw"
"BN1","fraction04",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction04.raw"
"BN1","fraction05",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction05.raw"
"BN1","fraction06",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction06.raw"
"BN1","fraction07",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction07.raw"
"BN1","fraction08",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction08.raw"
"BN1","fraction09",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction09.raw"
"BN1","fraction10",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction10.raw"
"BN1","fraction11",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction11_130830144600.raw"
"BN1","fraction12",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction12.raw"
"BN1","fraction13",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction13.raw"
"BN1","fraction14",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction14.raw"
"BN1","fraction15",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction15.raw"
"BN1","fraction16",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction16.raw"
"BN1","fraction17",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction17.raw"
"BN1","fraction18",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction18.raw"
"BN1","fraction19",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction19.raw"
"BN1","fraction20",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction20.raw"
"BN1","fraction21",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction21.raw"
"BN1","fraction22",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction22.raw"
"BN1","fraction23",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction23.raw"
"BN1","fraction24",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction24.raw"
"BN1","fraction25",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction25.raw"
"BN1","fraction26",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction26.raw"
"BN1","fraction27",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction27.raw"
"BN1","fraction28",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction28.raw"
"BN1","fraction29",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction29.raw"
"BN1","fraction30",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction30.raw"
"BN1","fraction31",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction31.raw"
"BN1","fraction32",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction32.raw"
"BN1","fraction33",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction33.raw"
"BN1","fraction34",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction34.raw"
"BN1","fraction35",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction35.raw"
"BN1","fraction36",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction36.raw"
"BN1","fraction37",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction37.raw"
"BN1","fraction38",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction38.raw"
"BN1","fraction39",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction39.raw"
"BN1","fraction40",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction40.raw"
"BN1","fraction41",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction41.raw"
"BN1","fraction42",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130826_MITO_BN_PAGE_4hr_fraction42.raw"
