Name	Fraction	Experiment
Nsco_20130826_MITO_BN_PAGE_4hr_fraction01	1	1
Nsco_20130826_MITO_BN_PAGE_4hr_fraction01rep	2	1
Nsco_20130826_MITO_BN_PAGE_4hr_fraction02	1	2
Nsco_20130826_MITO_BN_PAGE_4hr_fraction02rep	2	2
Nsco_20130826_MITO_BN_PAGE_4hr_fraction03	1	3
Nsco_20130826_MITO_BN_PAGE_4hr_fraction03rep	2	3
Nsco_20130826_MITO_BN_PAGE_4hr_fraction04	2	4
Nsco_20130826_MITO_BN_PAGE_4hr_fraction05	2	5
Nsco_20130826_MITO_BN_PAGE_4hr_fraction06	2	6
Nsco_20130826_MITO_BN_PAGE_4hr_fraction07	2	7
Nsco_20130826_MITO_BN_PAGE_4hr_fraction08	2	8
Nsco_20130826_MITO_BN_PAGE_4hr_fraction09	2	9
Nsco_20130826_MITO_BN_PAGE_4hr_fraction10	2	10
Nsco_20130826_MITO_BN_PAGE_4hr_fraction11_130830144600	2	11
Nsco_20130826_MITO_BN_PAGE_4hr_fraction12	2	12
Nsco_20130826_MITO_BN_PAGE_4hr_fraction13	2	13
Nsco_20130826_MITO_BN_PAGE_4hr_fraction14	2	14
Nsco_20130826_MITO_BN_PAGE_4hr_fraction15	2	15
Nsco_20130826_MITO_BN_PAGE_4hr_fraction16	2	16
Nsco_20130826_MITO_BN_PAGE_4hr_fraction17	2	17
Nsco_20130826_MITO_BN_PAGE_4hr_fraction18	2	18
Nsco_20130826_MITO_BN_PAGE_4hr_fraction19	2	19
Nsco_20130826_MITO_BN_PAGE_4hr_fraction20	2	20
Nsco_20130826_MITO_BN_PAGE_4hr_fraction21	2	21
Nsco_20130826_MITO_BN_PAGE_4hr_fraction22	2	22
Nsco_20130826_MITO_BN_PAGE_4hr_fraction23	2	23
Nsco_20130826_MITO_BN_PAGE_4hr_fraction24	2	24
Nsco_20130826_MITO_BN_PAGE_4hr_fraction25	2	25
Nsco_20130826_MITO_BN_PAGE_4hr_fraction26	2	26
Nsco_20130826_MITO_BN_PAGE_4hr_fraction27	2	27
Nsco_20130826_MITO_BN_PAGE_4hr_fraction28	2	28
Nsco_20130826_MITO_BN_PAGE_4hr_fraction29	2	29
Nsco_20130826_MITO_BN_PAGE_4hr_fraction30	2	30
Nsco_20130826_MITO_BN_PAGE_4hr_fraction31	2	31
Nsco_20130826_MITO_BN_PAGE_4hr_fraction32	2	32
Nsco_20130826_MITO_BN_PAGE_4hr_fraction33	2	33
Nsco_20130826_MITO_BN_PAGE_4hr_fraction34	2	34
Nsco_20130826_MITO_BN_PAGE_4hr_fraction35	2	35
Nsco_20130826_MITO_BN_PAGE_4hr_fraction36	2	36
Nsco_20130826_MITO_BN_PAGE_4hr_fraction37	2	37
Nsco_20130826_MITO_BN_PAGE_4hr_fraction38	2	38
Nsco_20130826_MITO_BN_PAGE_4hr_fraction39	2	39
Nsco_20130826_MITO_BN_PAGE_4hr_fraction40	2	40
Nsco_20130826_MITO_BN_PAGE_4hr_fraction41	2	41
Nsco_20130826_MITO_BN_PAGE_4hr_fraction42	2	42
Nsco_20130826_MITO_BN_PAGE_4hr_fraction43	2	43
Nsco_20130826_MITO_BN_PAGE_4hr_fraction44	2	44
Nsco_20130826_MITO_BN_PAGE_4hr_fraction45	2	45
Nsco_20130826_MITO_BN_PAGE_4hr_fraction46	2	46
Nsco_20130826_MITO_BN_PAGE_4hr_fraction47	2	47
Nsco_20130826_MITO_BN_PAGE_4hr_fraction48	2	48
Nsco_20130826_MITO_BN_PAGE_4hr_fraction49	2	49
Nsco_20130826_MITO_BN_PAGE_4hr_fraction50	1	50
Nsco_20130826_MITO_BN_PAGE_4hr_fraction50_130905193700	2	50
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction01	2	51
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction02	2	52
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction03	2	53
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction04	2	54
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction05	2	55
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction06	2	56
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction07	2	57
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction08	2	58
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction09	2	59
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction10	2	60
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction11	2	61
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction12	2	62
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction13	2	63
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction14	2	64
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction15	2	65
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction16	2	66
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction17	2	67
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction18	2	68
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction19	2	69
NSco_PCP_SILAC_BNPAGE_apoptosis_mito_rep2_fraction20	1	70
