"file","species","detergent","replicate","experiment","fraction"
"OT25cm_CH17_KNOW_Point-43.raw","Pk","0.1","CH17","43",1
"OT25cm_CH17_KNOW_Point-44.raw","Pk","0.1","CH17","44",1
"OT25cm_CH17_KNOW_Point-45.raw","Pk","0.1","CH17","45",1
"OT25cm_CH17_KNOW_Point-46.raw","Pk","0.1","CH17","46",1
"OT25cm_CH17_KNOW_Point-47.raw","Pk","0.1","CH17","47",1
"OT25cm_CH17_KNOW_Point-48.raw","Pk","0.1","CH17","48",1
"OT25cm_CH18_Know_One-01.raw","Pk","1","CH18","01",1
"OT25cm_CH18_Know_One-02.raw","Pk","1","CH18","02",1
"OT25cm_CH18_Know_One-03.raw","Pk","1","CH18","03",1
"OT25cm_CH18_Know_One-04.raw","Pk","1","CH18","04",1
"OT25cm_CH18_Know_One-05.raw","Pk","1","CH18","05",1
"OT25cm_CH18_Know_One-06.raw","Pk","1","CH18","06",1
"OT25cm_CH18_Know_One-07.raw","Pk","1","CH18","07",1
"OT25cm_CH18_Know_One-08.raw","Pk","1","CH18","08",1
"OT25cm_CH18_Know_One-09.raw","Pk","1","CH18","09",1
"OT25cm_CH18_Know_One-10.raw","Pk","1","CH18","10",1
"OT25cm_CH18_Know_One-11.raw","Pk","1","CH18","11",1
"OT25cm_CH18_Know_One-12.raw","Pk","1","CH18","12",1
"OT25cm_CH18_Know_One-12X.raw","Pk","1","CH18","12",2
"OT25cm_CH18_Know_One-13.raw","Pk","1","CH18","13",1
"OT25cm_CH18_Know_One-14.raw","Pk","1","CH18","14",1
"OT25cm_CH18_Know_One-15.raw","Pk","1","CH18","15",1
"OT25cm_CH18_Know_One-16.raw","Pk","1","CH18","16",1
"OT25cm_CH18_Know_One-17.raw","Pk","1","CH18","17",1
"OT25cm_CH18_Know_One-18.raw","Pk","1","CH18","18",1
"OT25cm_CH18_Know_One-19.raw","Pk","1","CH18","19",1
"OT25cm_CH18_Know_One-20.raw","Pk","1","CH18","20",1
"OT25cm_CH18_Know_One-21.raw","Pk","1","CH18","21",1
"OT25cm_CH18_Know_One-22.raw","Pk","1","CH18","22",1
"OT25cm_CH18_Know_One-23.raw","Pk","1","CH18","23",1
"OT25cm_CH18_Know_One-23X.raw","Pk","1","CH18","23",2
"OT25cm_CH18_Know_One-24.raw","Pk","1","CH18","24",1
"OT25cm_CH18_Know_One-25.raw","Pk","1","CH18","25",1
"OT25cm_CH18_Know_One-26.raw","Pk","1","CH18","26",1
"OT25cm_CH18_Know_One-27.raw","Pk","1","CH18","27",1
"OT25cm_CH18_Know_One-28.raw","Pk","1","CH18","28",1
"OT25cm_CH18_Know_One-29.raw","Pk","1","CH18","29",1
"OT25cm_CH18_Know_One-30.raw","Pk","1","CH18","30",1
"OT25cm_CH18_Know_One-31.raw","Pk","1","CH18","31",1
"OT25cm_CH18_Know_One-32.raw","Pk","1","CH18","32",1
"OT25cm_CH18_Know_One-33.raw","Pk","1","CH18","33",1
"OT25cm_CH18_Know_One-34.raw","Pk","1","CH18","34",1
"OT25cm_CH18_Know_One-35.raw","Pk","1","CH18","35",1
"OT25cm_CH18_Know_One-36.raw","Pk","1","CH18","36",1
"OT25cm_CH18_Know_One-37.raw","Pk","1","CH18","37",1
"OT25cm_CH18_Know_One-38.raw","Pk","1","CH18","38",1
"OT25cm_CH18_Know_One-39.raw","Pk","1","CH18","39",1
"OT25cm_CH18_Know_One-40.raw","Pk","1","CH18","40",1
"OT25cm_CH18_Know_One-41.raw","Pk","1","CH18","41",1
"OT25cm_CH18_Know_One-42.raw","Pk","1","CH18","42",1
"OT25cm_CH18_Know_One-43.raw","Pk","1","CH18","43",1
"OT25cm_CH18_Know_One-44.raw","Pk","1","CH18","44",1
"OT25cm_CH18_Know_One-45.raw","Pk","1","CH18","45",1
"OT25cm_CH18_Know_One-46.raw","Pk","1","CH18","46",1
"OT25cm_CH18_Know_One-47.raw","Pk","1","CH18","47",1
"OT25cm_CH18_Know_One-48.raw","Pk","1","CH18","48",1
"OT25cm_CH19_Know_Zero-01.raw","Pk","0","CH19","01",1
"OT25cm_CH19_Know_Zero-02.raw","Pk","0","CH19","02",1
"OT25cm_CH19_Know_Zero-03.raw","Pk","0","CH19","03",1
"OT25cm_CH19_Know_Zero-04.raw","Pk","0","CH19","04",1
"OT25cm_CH19_Know_Zero-05.raw","Pk","0","CH19","05",1
"OT25cm_CH19_Know_Zero-06.raw","Pk","0","CH19","06",1
"OT25cm_CH19_Know_Zero-07.raw","Pk","0","CH19","07",1
"OT25cm_CH19_Know_Zero-08.raw","Pk","0","CH19","08",1
"OT25cm_CH19_Know_Zero-09.raw","Pk","0","CH19","09",1
"OT25cm_CH19_Know_Zero-10.raw","Pk","0","CH19","10",1
"OT25cm_CH19_Know_Zero-11.raw","Pk","0","CH19","11",1
"OT25cm_CH19_Know_Zero-12.raw","Pk","0","CH19","12",1
"OT25cm_CH19_Know_Zero-13.raw","Pk","0","CH19","13",1
"OT25cm_CH19_Know_Zero-14.raw","Pk","0","CH19","14",1
"OT25cm_CH19_Know_Zero-15.raw","Pk","0","CH19","15",1
"OT25cm_CH19_Know_Zero-16.raw","Pk","0","CH19","16",1
"OT25cm_CH19_Know_Zero-17.raw","Pk","0","CH19","17",1
"OT25cm_CH19_Know_Zero-18.raw","Pk","0","CH19","18",1
"OT25cm_CH19_Know_Zero-19.raw","Pk","0","CH19","19",1
"OT25cm_CH19_Know_Zero-20.raw","Pk","0","CH19","20",1
"OT25cm_CH19_Know_Zero-21.raw","Pk","0","CH19","21",1
"OT25cm_CH19_Know_Zero-22.raw","Pk","0","CH19","22",1
"OT25cm_CH19_Know_Zero-23.raw","Pk","0","CH19","23",1
"OT25cm_CH19_Know_Zero-24.raw","Pk","0","CH19","24",1
"OT25cm_CH19_Know_Zero-25.raw","Pk","0","CH19","25",1
"OT25cm_CH19_Know_Zero-26.raw","Pk","0","CH19","26",1
"OT25cm_CH19_Know_Zero-27.raw","Pk","0","CH19","27",1
"OT25cm_CH19_Know_Zero-28.raw","Pk","0","CH19","28",1
"OT25cm_CH19_Know_Zero-29.raw","Pk","0","CH19","29",1
"OT25cm_CH19_Know_Zero-30.raw","Pk","0","CH19","30",1
"OT25cm_CH19_Know_Zero-31.raw","Pk","0","CH19","31",1
"OT25cm_CH19_Know_Zero-32.raw","Pk","0","CH19","32",1
"OT25cm_CH19_Know_Zero-33.raw","Pk","0","CH19","33",1
"OT25cm_CH19_Know_Zero-34.raw","Pk","0","CH19","34",1
"OT25cm_CH19_Know_Zero-35.raw","Pk","0","CH19","35",1
"OT25cm_CH19_Know_Zero-36.raw","Pk","0","CH19","36",1
"OT25cm_CH19_Know_Zero-37.raw","Pk","0","CH19","37",1
"OT25cm_CH19_Know_Zero-38.raw","Pk","0","CH19","38",1
"OT25cm_CH19_Know_Zero-39.raw","Pk","0","CH19","39",1
"OT25cm_CH19_Know_Zero-40.raw","Pk","0","CH19","40",1
"OT25cm_CH19_Know_Zero-41.raw","Pk","0","CH19","41",1
"OT25cm_CH19_Know_Zero-42.raw","Pk","0","CH19","42",1
"OT25cm_CH19_Know_Zero-43.raw","Pk","0","CH19","43",1
"OT25cm_CH19_Know_Zero-44.raw","Pk","0","CH19","44",1
"OT25cm_CH19_Know_Zero-45.raw","Pk","0","CH19","45",1
"OT25cm_CH19_Know_Zero-46.raw","Pk","0","CH19","46",1
"OT25cm_CH19_Know_Zero-47.raw","Pk","0","CH19","47",1
"OT25cm_CH19_Know_Zero-48.raw","Pk","0","CH19","48",1
"OT25cm_CH20_berg_zero-01.raw","Pb","0","CH20","01",1
"OT25cm_CH20_berg_zero-02.raw","Pb","0","CH20","02",1
"OT25cm_CH20_berg_zero-03.raw","Pb","0","CH20","03",1
"OT25cm_CH20_berg_zero-04.raw","Pb","0","CH20","04",1
"OT25cm_CH20_berg_zero-05.raw","Pb","0","CH20","05",1
"OT25cm_CH20_berg_zero-06.raw","Pb","0","CH20","06",1
"OT25cm_CH20_berg_zero-07.raw","Pb","0","CH20","07",1
"OT25cm_CH20_berg_zero-08.raw","Pb","0","CH20","08",1
"OT25cm_CH20_berg_zero-09.raw","Pb","0","CH20","09",1
"OT25cm_CH20_berg_zero-10.raw","Pb","0","CH20","10",1
"OT25cm_CH20_berg_zero-11.raw","Pb","0","CH20","11",1
"OT25cm_CH20_berg_zero-12.raw","Pb","0","CH20","12",1
"OT25cm_CH20_berg_zero-13.raw","Pb","0","CH20","13",1
"OT25cm_CH20_berg_zero-14.raw","Pb","0","CH20","14",1
"OT25cm_CH20_berg_zero-15.raw","Pb","0","CH20","15",1
"OT25cm_CH20_berg_zero-16.raw","Pb","0","CH20","16",1
"OT25cm_CH20_berg_zero-17.raw","Pb","0","CH20","17",1
"OT25cm_CH20_berg_zero-18.raw","Pb","0","CH20","18",1
"OT25cm_CH20_berg_zero-19.raw","Pb","0","CH20","19",1
"OT25cm_CH20_berg_zero-20.raw","Pb","0","CH20","20",1
"OT25cm_CH20_berg_zero-21.raw","Pb","0","CH20","21",1
"OT25cm_CH20_berg_zero-22.raw","Pb","0","CH20","22",1
"OT25cm_CH20_berg_zero-23.raw","Pb","0","CH20","23",1
"OT25cm_CH20_berg_zero-24.raw","Pb","0","CH20","24",1
"OT25cm_CH20_berg_zero-25.raw","Pb","0","CH20","25",1
"OT25cm_CH20_berg_zero-26.raw","Pb","0","CH20","26",1
"OT25cm_CH20_berg_zero-27.raw","Pb","0","CH20","27",1
"OT25cm_CH20_berg_zero-28.raw","Pb","0","CH20","28",1
"OT25cm_CH20_berg_zero-29.raw","Pb","0","CH20","29",1
"OT25cm_CH20_berg_zero-30.raw","Pb","0","CH20","30",1
"OT25cm_CH20_berg_zero-31.raw","Pb","0","CH20","31",1
"OT25cm_CH20_berg_zero-32.raw","Pb","0","CH20","32",1
"OT25cm_CH20_berg_zero-33.raw","Pb","0","CH20","33",1
"OT25cm_CH20_berg_zero-34.raw","Pb","0","CH20","34",1
"OT25cm_CH20_berg_zero-35.raw","Pb","0","CH20","35",1
"OT25cm_CH20_berg_zero-36.raw","Pb","0","CH20","36",1
"OT25cm_CH20_berg_zero-37.raw","Pb","0","CH20","37",1
"OT25cm_CH20_berg_zero-38.raw","Pb","0","CH20","38",1
"OT25cm_CH20_berg_zero-39.raw","Pb","0","CH20","39",1
"OT25cm_CH20_berg_zero-40.raw","Pb","0","CH20","40",1
"OT25cm_CH20_berg_zero-41.raw","Pb","0","CH20","41",1
"OT25cm_CH20_berg_zero-42.raw","Pb","0","CH20","42",1
"OT25cm_CH20_berg_zero-43.raw","Pb","0","CH20","43",1
"OT25cm_CH20_berg_zero-44.raw","Pb","0","CH20","44",1
"OT25cm_CH20_berg_zero-45.raw","Pb","0","CH20","45",1
"OT25cm_CH20_berg_zero-46.raw","Pb","0","CH20","46",1
"OT25cm_CH20_berg_zero-47.raw","Pb","0","CH20","47",1
"OT25cm_CH20_berg_zero-48.raw","Pb","0","CH20","48",1
"OT25cm_CH21_berg_One-01.raw","Pb","1","CH21","01",1
"OT25cm_CH21_berg_One-02.raw","Pb","1","CH21","02",1
"OT25cm_CH21_berg_One-03.raw","Pb","1","CH21","03",1
"OT25cm_CH21_berg_One-04.raw","Pb","1","CH21","04",1
"OT25cm_CH21_berg_One-05.raw","Pb","1","CH21","05",1
"OT25cm_CH21_berg_One-06.raw","Pb","1","CH21","06",1
"OT25cm_CH21_berg_One-07.raw","Pb","1","CH21","07",1
"OT25cm_CH21_berg_One-08.raw","Pb","1","CH21","08",1
"OT25cm_CH21_berg_One-09.raw","Pb","1","CH21","09",1
"OT25cm_CH21_berg_One-10.raw","Pb","1","CH21","10",1
"OT25cm_CH21_berg_One-11.raw","Pb","1","CH21","11",1
"OT25cm_CH21_berg_One-12.raw","Pb","1","CH21","12",1
"OT25cm_CH21_berg_One-13.raw","Pb","1","CH21","13",1
"OT25cm_CH21_berg_One-14.raw","Pb","1","CH21","14",1
"OT25cm_CH21_berg_One-15.raw","Pb","1","CH21","15",1
"OT25cm_CH21_berg_One-16.raw","Pb","1","CH21","16",1
"OT25cm_CH21_berg_One-17.raw","Pb","1","CH21","17",1
"OT25cm_CH21_berg_One-18.raw","Pb","1","CH21","18",1
"OT25cm_CH21_berg_One-19.raw","Pb","1","CH21","19",1
"OT25cm_CH21_berg_One-20.raw","Pb","1","CH21","20",1
"OT25cm_CH21_berg_One-21.raw","Pb","1","CH21","21",1
"OT25cm_CH21_berg_One-22.raw","Pb","1","CH21","22",1
"OT25cm_CH21_berg_One-23.raw","Pb","1","CH21","23",1
"OT25cm_CH21_berg_One-24.raw","Pb","1","CH21","24",1
"OT25cm_CH21_berg_One-25.raw","Pb","1","CH21","25",1
"OT25cm_CH21_berg_One-26.raw","Pb","1","CH21","26",1
"OT25cm_CH21_berg_One-27.raw","Pb","1","CH21","27",1
"OT25cm_CH21_berg_One-28.raw","Pb","1","CH21","28",1
"OT25cm_CH21_berg_One-29.raw","Pb","1","CH21","29",1
"OT25cm_CH21_berg_One-30.raw","Pb","1","CH21","30",1
"OT25cm_CH21_berg_One-31.raw","Pb","1","CH21","31",1
"OT25cm_CH21_berg_One-32.raw","Pb","1","CH21","32",1
"OT25cm_CH21_berg_One-33.raw","Pb","1","CH21","33",1
"OT25cm_CH21_berg_One-34.raw","Pb","1","CH21","34",1
"OT25cm_CH21_berg_One-35.raw","Pb","1","CH21","35",1
"OT25cm_CH21_berg_One-36.raw","Pb","1","CH21","36",1
"OT25cm_CH21_berg_One-37.raw","Pb","1","CH21","37",1
"OT25cm_CH21_berg_One-38.raw","Pb","1","CH21","38",1
"OT25cm_CH21_berg_One-39.raw","Pb","1","CH21","39",1
"OT25cm_CH21_berg_One-40.raw","Pb","1","CH21","40",1
"OT25cm_CH21_berg_One-41.raw","Pb","1","CH21","41",1
"OT25cm_CH21_berg_One-42.raw","Pb","1","CH21","42",1
"OT25cm_CH21_berg_One-43.raw","Pb","1","CH21","43",1
"OT25cm_CH21_berg_One-44.raw","Pb","1","CH21","44",1
"OT25cm_CH21_berg_One-45.raw","Pb","1","CH21","45",1
"OT25cm_CH21_berg_One-46.raw","Pb","1","CH21","46",1
"OT25cm_CH21_berg_One-47.raw","Pb","1","CH21","47",1
"OT25cm_CH21_berg_One-48.raw","Pb","1","CH21","48",1
"OT25cm_CH22_Know_Point-01.raw","Pk","0.1","CH22","01",1
"OT25cm_CH22_Know_Point-02.raw","Pk","0.1","CH22","02",1
"OT25cm_CH22_Know_Point-03.raw","Pk","0.1","CH22","03",1
"OT25cm_CH22_Know_Point-04.raw","Pk","0.1","CH22","04",1
"OT25cm_CH22_Know_Point-05.raw","Pk","0.1","CH22","05",1
"OT25cm_CH22_Know_Point-06.raw","Pk","0.1","CH22","06",1
"OT25cm_CH22_Know_Point-07.raw","Pk","0.1","CH22","07",1
"OT25cm_CH22_Know_Point-08.raw","Pk","0.1","CH22","08",1
"OT25cm_CH22_Know_Point-09.raw","Pk","0.1","CH22","09",1
"OT25cm_CH22_Know_Point-09X.raw","Pk","0.1","CH22","09",2
"OT25cm_CH22_Know_Point-10.raw","Pk","0.1","CH22","10",1
"OT25cm_CH22_Know_Point-11.raw","Pk","0.1","CH22","11",1
"OT25cm_CH22_Know_Point-12.raw","Pk","0.1","CH22","12",1
"OT25cm_CH22_Know_Point-12X.raw","Pk","0.1","CH22","12",2
"OT25cm_CH22_Know_Point-13.raw","Pk","0.1","CH22","13",1
"OT25cm_CH22_Know_Point-14.raw","Pk","0.1","CH22","14",1
"OT25cm_CH22_Know_Point-15.raw","Pk","0.1","CH22","15",1
"OT25cm_CH22_Know_Point-16.raw","Pk","0.1","CH22","16",1
"OT25cm_CH22_Know_Point-17.raw","Pk","0.1","CH22","17",1
"OT25cm_CH22_Know_Point-18.raw","Pk","0.1","CH22","18",1
"OT25cm_CH22_Know_Point-19.raw","Pk","0.1","CH22","19",1
"OT25cm_CH22_Know_Point-20.raw","Pk","0.1","CH22","20",1
"OT25cm_CH22_Know_Point-21.raw","Pk","0.1","CH22","21",1
"OT25cm_CH22_Know_Point-22.raw","Pk","0.1","CH22","22",1
"OT25cm_CH22_Know_Point-23.raw","Pk","0.1","CH22","23",1
"OT25cm_CH22_Know_Point-23X.raw","Pk","0.1","CH22","23",2
"OT25cm_CH22_Know_Point-24.raw","Pk","0.1","CH22","24",1
"OT25cm_CH22_Know_Point-25.raw","Pk","0.1","CH22","25",1
"OT25cm_CH22_Know_Point-26.raw","Pk","0.1","CH22","26",1
"OT25cm_CH22_Know_Point-27.raw","Pk","0.1","CH22","27",1
"OT25cm_CH22_Know_Point-28.raw","Pk","0.1","CH22","28",1
"OT25cm_CH22_Know_Point-29.raw","Pk","0.1","CH22","29",1
"OT25cm_CH22_Know_Point-30.raw","Pk","0.1","CH22","30",1
"OT25cm_CH22_Know_Point-31.raw","Pk","0.1","CH22","31",1
"OT25cm_CH22_Know_Point-32.raw","Pk","0.1","CH22","32",1
"OT25cm_CH22_Know_Point-33.raw","Pk","0.1","CH22","33",1
"OT25cm_CH22_Know_Point-34.raw","Pk","0.1","CH22","34",1
"OT25cm_CH22_Know_Point-35.raw","Pk","0.1","CH22","35",1
"OT25cm_CH22_Know_Point-36.raw","Pk","0.1","CH22","36",1
"OT25cm_CH22_Know_Point-37.raw","Pk","0.1","CH22","37",1
"OT25cm_CH22_Know_Point-38.raw","Pk","0.1","CH22","38",1
"OT25cm_CH22_Know_Point-39.raw","Pk","0.1","CH22","39",1
"OT25cm_CH22_Know_Point-40.raw","Pk","0.1","CH22","40",1
"OT25cm_CH22_Know_Point-41.raw","Pk","0.1","CH22","41",1
"OT25cm_CH22_Know_Point-42.raw","Pk","0.1","CH22","42",1
"OT25cm_CH22_Know_Point-43.raw","Pk","0.1","CH22","43",1
"OT25cm_CH22_Know_Point-44.raw","Pk","0.1","CH22","44",1
"OT25cm_CH22_Know_Point-45.raw","Pk","0.1","CH22","45",1
"OT25cm_CH22_Know_Point-46.raw","Pk","0.1","CH22","46",1
"OT25cm_CH22_Know_Point-47.raw","Pk","0.1","CH22","47",1
"OT25cm_CH22_Know_Point-48.raw","Pk","0.1","CH22","48",1
"OT25cm_CH23_Know_One-01.raw","Pk","1","CH23","01",1
"OT25cm_CH23_Know_One-02.raw","Pk","1","CH23","02",1
"OT25cm_CH23_Know_One-03.raw","Pk","1","CH23","03",1
"OT25cm_CH23_Know_One-04.raw","Pk","1","CH23","04",1
"OT25cm_CH23_Know_One-05.raw","Pk","1","CH23","05",1
"OT25cm_CH23_Know_One-06.raw","Pk","1","CH23","06",1
"OT25cm_CH23_Know_One-07.raw","Pk","1","CH23","07",1
"OT25cm_CH23_Know_One-08.raw","Pk","1","CH23","08",1
"OT25cm_CH23_Know_One-09.raw","Pk","1","CH23","09",1
"OT25cm_CH23_Know_One-10.raw","Pk","1","CH23","10",1
"OT25cm_CH23_Know_One-11.raw","Pk","1","CH23","11",1
"OT25cm_CH23_Know_One-12.raw","Pk","1","CH23","12",1
"OT25cm_CH23_Know_One-13.raw","Pk","1","CH23","13",1
"OT25cm_CH23_Know_One-14.raw","Pk","1","CH23","14",1
"OT25cm_CH23_Know_One-15.raw","Pk","1","CH23","15",1
"OT25cm_CH23_Know_One-16.raw","Pk","1","CH23","16",1
"OT25cm_CH23_Know_One-17.raw","Pk","1","CH23","17",1
"OT25cm_CH23_Know_One-18.raw","Pk","1","CH23","18",1
"OT25cm_CH23_Know_One-19.raw","Pk","1","CH23","19",1
"OT25cm_CH23_Know_One-20.raw","Pk","1","CH23","20",1
"OT25cm_CH23_Know_One-21.raw","Pk","1","CH23","21",1
"OT25cm_CH23_Know_One-22.raw","Pk","1","CH23","22",1
"OT25cm_CH23_Know_One-23.raw","Pk","1","CH23","23",1
"OT25cm_CH23_Know_One-24.raw","Pk","1","CH23","24",1
"OT25cm_CH23_Know_One-25.raw","Pk","1","CH23","25",1
"OT25cm_CH23_Know_One-26.raw","Pk","1","CH23","26",1
"OT25cm_CH23_Know_One-27.raw","Pk","1","CH23","27",1
"OT25cm_CH23_Know_One-28.raw","Pk","1","CH23","28",1
"OT25cm_CH23_Know_One-29.raw","Pk","1","CH23","29",1
"OT25cm_CH23_Know_One-30.raw","Pk","1","CH23","30",1
"OT25cm_CH23_Know_One-31.raw","Pk","1","CH23","31",1
"OT25cm_CH23_Know_One-32.raw","Pk","1","CH23","32",1
"OT25cm_CH23_Know_One-33.raw","Pk","1","CH23","33",1
"OT25cm_CH23_Know_One-34.raw","Pk","1","CH23","34",1
"OT25cm_CH23_Know_One-35.raw","Pk","1","CH23","35",1
"OT25cm_CH23_Know_One-36.raw","Pk","1","CH23","36",1
"OT25cm_CH23_Know_One-37.raw","Pk","1","CH23","37",1
"OT25cm_CH23_Know_One-38.raw","Pk","1","CH23","38",1
"OT25cm_CH23_Know_One-39.raw","Pk","1","CH23","39",1
"OT25cm_CH23_Know_One-40.raw","Pk","1","CH23","40",1
"OT25cm_CH23_Know_One-41.raw","Pk","1","CH23","41",1
"OT25cm_CH23_Know_One-42.raw","Pk","1","CH23","42",1
"OT25cm_CH23_Know_One-43.raw","Pk","1","CH23","43",1
"OT25cm_CH23_Know_One-44.raw","Pk","1","CH23","44",1
"OT25cm_CH23_Know_One-45.raw","Pk","1","CH23","45",1
"OT25cm_CH23_Know_One-46.raw","Pk","1","CH23","46",1
"OT25cm_CH23_Know_One-47.raw","Pk","1","CH23","47",1
"OT25cm_CH23_Know_One-48.raw","Pk","1","CH23","48",1
"OT25cm_CH24_Berg_Point-01.raw","Pb","0.1","CH24","01",1
"OT25cm_CH24_Berg_Point-02.raw","Pb","0.1","CH24","02",1
"OT25cm_CH24_Berg_Point-03.raw","Pb","0.1","CH24","03",1
"OT25cm_CH24_Berg_Point-04.raw","Pb","0.1","CH24","04",1
"OT25cm_CH24_Berg_Point-05.raw","Pb","0.1","CH24","05",1
"OT25cm_CH24_Berg_Point-07.raw","Pb","0.1","CH24","07",1
"OT25cm_CH24_Berg_Point-08.raw","Pb","0.1","CH24","08",1
"OT25cm_CH24_Berg_Point-09.raw","Pb","0.1","CH24","09",1
"OT25cm_CH24_Berg_Point-10.raw","Pb","0.1","CH24","10",1
"OT25cm_CH24_Berg_Point-11.raw","Pb","0.1","CH24","11",1
"OT25cm_CH24_Berg_Point-12.raw","Pb","0.1","CH24","12",1
"OT25cm_CH24_Berg_Point-13.raw","Pb","0.1","CH24","13",1
"OT25cm_CH24_Berg_Point-14.raw","Pb","0.1","CH24","14",1
"OT25cm_CH24_Berg_Point-15.raw","Pb","0.1","CH24","15",1
"OT25cm_CH24_Berg_Point-16.raw","Pb","0.1","CH24","16",1
"OT25cm_CH24_Berg_Point-17.raw","Pb","0.1","CH24","17",1
"OT25cm_CH24_Berg_Point-18.raw","Pb","0.1","CH24","18",1
"OT25cm_CH24_Berg_Point-19.raw","Pb","0.1","CH24","19",1
"OT25cm_CH24_Berg_Point-20.raw","Pb","0.1","CH24","20",1
"OT25cm_CH24_Berg_Point-21.raw","Pb","0.1","CH24","21",1
"OT25cm_CH24_Berg_Point-22.raw","Pb","0.1","CH24","22",1
"OT25cm_CH24_Berg_Point-23.raw","Pb","0.1","CH24","23",1
"OT25cm_CH24_Berg_Point-24.raw","Pb","0.1","CH24","24",1
"OT25cm_CH24_Berg_Point-25.raw","Pb","0.1","CH24","25",1
"OT25cm_CH24_Berg_Point-26.raw","Pb","0.1","CH24","26",1
"OT25cm_CH24_Berg_Point-27.raw","Pb","0.1","CH24","27",1
"OT25cm_CH24_Berg_Point-28.raw","Pb","0.1","CH24","28",1
"OT25cm_CH24_Berg_Point-29.raw","Pb","0.1","CH24","29",1
"OT25cm_CH24_Berg_Point-30.raw","Pb","0.1","CH24","30",1
"OT25cm_CH24_Berg_Point-31.raw","Pb","0.1","CH24","31",1
"OT25cm_CH24_Berg_Point-32.raw","Pb","0.1","CH24","32",1
"OT25cm_CH24_Berg_Point-33.raw","Pb","0.1","CH24","33",1
"OT25cm_CH24_Berg_Point-34.raw","Pb","0.1","CH24","34",1
"OT25cm_CH24_Berg_Point-35.raw","Pb","0.1","CH24","35",1
"OT25cm_CH24_Berg_Point-36.raw","Pb","0.1","CH24","36",1
"OT25cm_CH24_Berg_Point-37.raw","Pb","0.1","CH24","37",1
"OT25cm_CH24_Berg_Point-38.raw","Pb","0.1","CH24","38",1
"OT25cm_CH24_Berg_Point-39.raw","Pb","0.1","CH24","39",1
"OT25cm_CH24_Berg_Point-40.raw","Pb","0.1","CH24","40",1
"OT25cm_CH24_Berg_Point-41.raw","Pb","0.1","CH24","41",1
"OT25cm_CH24_Berg_Point-42.raw","Pb","0.1","CH24","42",1
"OT25cm_CH24_Berg_Point-43.raw","Pb","0.1","CH24","43",1
"OT25cm_CH24_Berg_Point-44.raw","Pb","0.1","CH24","44",1
"OT25cm_CH24_Berg_Point-45.raw","Pb","0.1","CH24","45",1
"OT25cm_CH24_Berg_Point-46.raw","Pb","0.1","CH24","46",1
"OT25cm_CH24_Berg_Point-47.raw","Pb","0.1","CH24","47",1
"OT25cm_CH24_Berg_Point-48.raw","Pb","0.1","CH24","48",1
"OT25cm_CH25_Falc_One-01.raw","Pf","1","CH25","01",1
"OT25cm_CH25_Falc_One-02.raw","Pf","1","CH25","02",1
"OT25cm_CH25_Falc_One-03.raw","Pf","1","CH25","03",1
"OT25cm_CH25_Falc_One-04.raw","Pf","1","CH25","04",1
"OT25cm_CH25_Falc_One-05.raw","Pf","1","CH25","05",1
"OT25cm_CH25_Falc_One-06.raw","Pf","1","CH25","06",1
"OT25cm_CH25_Falc_One-07.raw","Pf","1","CH25","07",1
"OT25cm_CH25_Falc_One-08.raw","Pf","1","CH25","08",1
"OT25cm_CH25_Falc_One-09.raw","Pf","1","CH25","09",1
"OT25cm_CH25_Falc_One-10.raw","Pf","1","CH25","10",1
"OT25cm_CH25_Falc_One-11.raw","Pf","1","CH25","11",1
"OT25cm_CH25_Falc_One-12.raw","Pf","1","CH25","12",1
"OT25cm_CH25_Falc_One-13.raw","Pf","1","CH25","13",1
"OT25cm_CH25_Falc_One-14.raw","Pf","1","CH25","14",1
"OT25cm_CH25_Falc_One-15.raw","Pf","1","CH25","15",1
"OT25cm_CH25_Falc_One-16.raw","Pf","1","CH25","16",1
"OT25cm_CH25_Falc_One-17.raw","Pf","1","CH25","17",1
"OT25cm_CH25_Falc_One-18.raw","Pf","1","CH25","18",1
"OT25cm_CH25_Falc_One-19.raw","Pf","1","CH25","19",1
"OT25cm_CH25_Falc_One-20.raw","Pf","1","CH25","20",1
"OT25cm_CH25_Falc_One-21.raw","Pf","1","CH25","21",1
"OT25cm_CH25_Falc_One-22.raw","Pf","1","CH25","22",1
"OT25cm_CH25_Falc_One-23.raw","Pf","1","CH25","23",1
"OT25cm_CH25_Falc_One-24.raw","Pf","1","CH25","24",1
"OT25cm_CH25_Falc_One-25.raw","Pf","1","CH25","25",1
"OT25cm_CH25_Falc_One-26.raw","Pf","1","CH25","26",1
"OT25cm_CH25_Falc_One-27.raw","Pf","1","CH25","27",1
"OT25cm_CH25_Falc_One-28.raw","Pf","1","CH25","28",1
"OT25cm_CH25_Falc_One-29.raw","Pf","1","CH25","29",1
"OT25cm_CH25_Falc_One-30.raw","Pf","1","CH25","30",1
"OT25cm_CH25_Falc_One-31.raw","Pf","1","CH25","31",1
"OT25cm_CH25_Falc_One-32.raw","Pf","1","CH25","32",1
"OT25cm_CH25_Falc_One-33.raw","Pf","1","CH25","33",1
"OT25cm_CH25_Falc_One-34.raw","Pf","1","CH25","34",1
"OT25cm_CH25_Falc_One-35.raw","Pf","1","CH25","35",1
"OT25cm_CH25_Falc_One-36.raw","Pf","1","CH25","36",1
"OT25cm_CH25_Falc_One-37.raw","Pf","1","CH25","37",1
