"file","species","detergent","replicate","experiment","fraction"
"OT25cm_CH10AN-48.raw","Pb",NA,"CH10","48",1
"OT25cm_CH12AN-01.raw","Pb",NA,"CH12","01",1
"OT25cm_CH12AN-02.raw","Pb",NA,"CH12","02",1
"OT25cm_CH12AN-03.raw","Pb",NA,"CH12","03",1
"OT25cm_CH12AN-04.raw","Pb",NA,"CH12","04",1
"OT25cm_CH12AN-05.raw","Pb",NA,"CH12","05",1
"OT25cm_CH12AN-06.raw","Pb",NA,"CH12","06",1
"OT25cm_CH12AN-07.raw","Pb",NA,"CH12","07",1
"OT25cm_CH12AN-08.raw","Pb",NA,"CH12","08",1
"OT25cm_CH12AN-09.raw","Pb",NA,"CH12","09",1
"OT25cm_CH12AN-10.raw","Pb",NA,"CH12","10",1
"OT25cm_CH12AN-11.raw","Pb",NA,"CH12","11",1
"OT25cm_CH12AN-12.raw","Pb",NA,"CH12","12",1
"OT25cm_CH12AN-13.raw","Pb",NA,"CH12","13",1
"OT25cm_CH12AN-14.raw","Pb",NA,"CH12","14",1
"OT25cm_CH12AN-15.raw","Pb",NA,"CH12","15",1
"OT25cm_CH12AN-16.raw","Pb",NA,"CH12","16",1
"OT25cm_CH12AN-17.raw","Pb",NA,"CH12","17",1
"OT25cm_CH12AN-18.raw","Pb",NA,"CH12","18",1
"OT25cm_CH12AN-19.raw","Pb",NA,"CH12","19",1
"OT25cm_CH12AN-20.raw","Pb",NA,"CH12","20",1
"OT25cm_CH12AN-21.raw","Pb",NA,"CH12","21",1
"OT25cm_CH12AN-22.raw","Pb",NA,"CH12","22",1
"OT25cm_CH12AN-23.raw","Pb",NA,"CH12","23",1
"OT25cm_CH12AN-24.raw","Pb",NA,"CH12","24",1
"OT25cm_CH12AN-25.raw","Pb",NA,"CH12","25",1
"OT25cm_CH12AN-26.raw","Pb",NA,"CH12","26",1
"OT25cm_CH12AN-27.raw","Pb",NA,"CH12","27",1
"OT25cm_CH12AN-28.raw","Pb",NA,"CH12","28",1
"OT25cm_CH12AN-29.raw","Pb",NA,"CH12","29",1
"OT25cm_CH12AN-30.raw","Pb",NA,"CH12","30",1
"OT25cm_CH12AN-31.raw","Pb",NA,"CH12","31",1
"OT25cm_CH12AN-32.raw","Pb",NA,"CH12","32",1
"OT25cm_CH12AN-33.raw","Pb",NA,"CH12","33",1
"OT25cm_CH12AN-34.raw","Pb",NA,"CH12","34",1
"OT25cm_CH12AN-35.raw","Pb",NA,"CH12","35",1
"OT25cm_CH12AN-36.raw","Pb",NA,"CH12","36",1
"OT25cm_CH12AN-37.raw","Pb",NA,"CH12","37",1
"OT25cm_CH12AN-38.raw","Pb",NA,"CH12","38",1
"OT25cm_CH12AN-39.raw","Pb",NA,"CH12","39",1
"OT25cm_CH12AN-40.raw","Pb",NA,"CH12","40",1
"OT25cm_CH12AN-41.raw","Pb",NA,"CH12","41",1
"OT25cm_CH12AN-42.raw","Pb",NA,"CH12","42",1
"OT25cm_CH12AN-43.raw","Pb",NA,"CH12","43",1
"OT25cm_CH12AN-44.raw","Pb",NA,"CH12","44",1
"OT25cm_CH12AN-45.raw","Pb",NA,"CH12","45",1
"OT25cm_CH12AN-46.raw","Pb",NA,"CH12","46",1
"OT25cm_CH12AN-47.raw","Pb",NA,"CH12","47",1
"OT25cm_CH12AN-48.raw","Pb",NA,"CH12","48",1
"OT25cm_CH13_FalC_zero-01.raw","Pf","0","CH13","01",1
"OT25cm_CH13_FalC_zero-02.raw","Pf","0","CH13","02",1
"OT25cm_CH13_FalC_zero-03.raw","Pf","0","CH13","03",1
"OT25cm_CH13_FalC_zero-04.raw","Pf","0","CH13","04",1
"OT25cm_CH13_FalC_zero-05.raw","Pf","0","CH13","05",1
"OT25cm_CH13_FalC_zero-06.raw","Pf","0","CH13","06",1
"OT25cm_CH13_FalC_zero-07.raw","Pf","0","CH13","07",1
"OT25cm_CH13_FalC_zero-08.raw","Pf","0","CH13","08",1
"OT25cm_CH13_FalC_zero-09.raw","Pf","0","CH13","09",1
"OT25cm_CH13_FalC_zero-10.raw","Pf","0","CH13","10",1
"OT25cm_CH13_FalC_zero-11.raw","Pf","0","CH13","11",1
"OT25cm_CH13_FalC_zero-12.raw","Pf","0","CH13","12",1
"OT25cm_CH13_FalC_zero-13.raw","Pf","0","CH13","13",1
"OT25cm_CH13_FalC_zero-14.raw","Pf","0","CH13","14",1
"OT25cm_CH13_FalC_zero-15.raw","Pf","0","CH13","15",1
"OT25cm_CH13_FalC_zero-16.raw","Pf","0","CH13","16",1
