"filename","replicate","experiment","fraction"
"SAL1018_1_20110808_LT.RAW","WC-GG","F01",1
"SAL1018_10_20110808_LT.RAW","WC-GG","F10",1
"SAL1018_11_20110808_LT.RAW","WC-GG","F11",1
"SAL1018_12_20110808_LT.RAW","WC-GG","F12",1
"SAL1018_13_20110808_LT.RAW","WC-GG","F13",1
"SAL1018_14_20110808_LT.RAW","WC-GG","F14",1
"SAL1018_15_20110808_LT.RAW","WC-GG","F15",1
"SAL1018_16_20110808_LT.RAW","WC-GG","F16",1
"SAL1018_17_20110808_LT.RAW","WC-GG","F17",1
"SAL1018_18_20110808_LT.RAW","WC-GG","F18",1
"SAL1018_19_20110808_LT.RAW","WC-GG","F19",1
"SAL1018_2_20110808_LT.RAW","WC-GG","F02",1
"SAL1018_20_20110808_LT.RAW","WC-GG","F20",1
"SAL1018_21_20110808_LT.RAW","WC-GG","F21",1
"SAL1018_22_20110808_LT.RAW","WC-GG","F22",1
"SAL1018_23_20110808_LT.RAW","WC-GG","F23",1
"SAL1018_23_20110817_LT.RAW","WC-GG","F23",2
"SAL1018_24_20110808_LT.RAW","WC-GG","F24",1
"SAL1018_24_20110817_LT.RAW","WC-GG","F24",2
"SAL1018_25_20110808_LT.RAW","WC-GG","F25",1
"SAL1018_26_20110808_LT.RAW","WC-GG","F26",1
"SAL1018_27_20110808_LT.RAW","WC-GG","F27",1
"SAL1018_28_20110808_LT.RAW","WC-GG","F28",1
"SAL1018_29_20110808_LT.RAW","WC-GG","F29",1
"SAL1018_3_20110808_LT.RAW","WC-GG","F03",1
"SAL1018_30_20110808_LT.RAW","WC-GG","F30",1
"SAL1018_31_20110808_LT.RAW","WC-GG","F31",1
"SAL1018_32_20110808_LT.RAW","WC-GG","F32",1
"SAL1018_33_20110808_LT.RAW","WC-GG","F33",1
"SAL1018_34_20110808_LT.RAW","WC-GG","F34",1
"SAL1018_35_20110808_LT.RAW","WC-GG","F35",1
"SAL1018_36_20110808_LT.RAW","WC-GG","F36",1
"SAL1018_37_20110808_LT.RAW","WC-GG","F37",1
"SAL1018_38_20110808_LT.RAW","WC-GG","F38",1
"SAL1018_39_20110808_LT.RAW","WC-GG","F39",1
"SAL1018_4_20110808_LT.RAW","WC-GG","F04",1
"SAL1018_40_20110808_LT.RAW","WC-GG","F40",1
"SAL1018_41_20110808_LT.RAW","WC-GG","F41",1
"SAL1018_42_20110808_LT.RAW","WC-GG","F42",1
"SAL1018_43_20110808_LT.RAW","WC-GG","F43",1
