"filename","replicate","experiment","fraction"
"WAN1100427_OT2_Celegans_HCW_P1A01.mzXML","expt_1","P1A01",1
"WAN1100427_OT2_Celegans_HCW_P1A02.mzXML","expt_1","P1A02",1
"WAN1100427_OT2_Celegans_HCW_P1A03.mzXML","expt_1","P1A03",1
"WAN1100427_OT2_Celegans_HCW_P1A04.mzXML","expt_1","P1A04",1
"WAN1100427_OT2_Celegans_HCW_P1A05.mzXML","expt_1","P1A05",1
"WAN1100427_OT2_Celegans_HCW_P1A06.mzXML","expt_1","P1A06",1
"WAN1100427_OT2_Celegans_HCW_P1A07.mzXML","expt_1","P1A07",1
"WAN1100427_OT2_Celegans_HCW_P1A08.mzXML","expt_1","P1A08",1
"WAN1100427_OT2_Celegans_HCW_P1A09.mzXML","expt_1","P1A09",1
"WAN1100427_OT2_Celegans_HCW_P1A10.mzXML","expt_1","P1A10",1
"WAN1100427_OT2_Celegans_HCW_P1A11.mzXML","expt_1","P1A11",1
"WAN1100427_OT2_Celegans_HCW_P1A12.mzXML","expt_1","P1A12",1
"WAN1100427_OT2_Celegans_HCW_P1B01.mzXML","expt_1","P1B01",1
"WAN1100427_OT2_Celegans_HCW_P1B02.mzXML","expt_1","P1B02",1
"WAN1100427_OT2_Celegans_HCW_P1B03.mzXML","expt_1","P1B03",1
"WAN1100427_OT2_Celegans_HCW_P1B04.mzXML","expt_1","P1B04",1
"WAN1100427_OT2_Celegans_HCW_P1B05.mzXML","expt_1","P1B05",1
"WAN1100427_OT2_Celegans_HCW_P1B06.mzXML","expt_1","P1B06",1
"WAN1100427_OT2_Celegans_HCW_P1B07.mzXML","expt_1","P1B07",1
"WAN1100427_OT2_Celegans_HCW_P1B08.mzXML","expt_1","P1B08",1
"WAN1100427_OT2_Celegans_HCW_P1B09.mzXML","expt_1","P1B09",1
"WAN1100427_OT2_Celegans_HCW_P1B10.mzXML","expt_1","P1B10",1
"WAN1100427_OT2_Celegans_HCW_P1B11.mzXML","expt_1","P1B11",1
"WAN1100427_OT2_Celegans_HCW_P1B12.mzXML","expt_1","P1B12",1
"WAN1100427_OT2_Celegans_HCW_P1C01.mzXML","expt_1","P1C01",1
"WAN1100427_OT2_Celegans_HCW_P1C02.mzXML","expt_1","P1C02",1
"WAN1100427_OT2_Celegans_HCW_P1C03.mzXML","expt_1","P1C03",1
"WAN1100427_OT2_Celegans_HCW_P1C04.mzXML","expt_1","P1C04",1
"WAN1100427_OT2_Celegans_HCW_P1C05.mzXML","expt_1","P1C05",1
"WAN1100427_OT2_Celegans_HCW_P1C06.mzXML","expt_1","P1C06",1
"WAN1100427_OT2_Celegans_HCW_P1C07.mzXML","expt_1","P1C07",1
"WAN1100427_OT2_Celegans_HCW_P1C08.mzXML","expt_1","P1C08",1
"WAN1100427_OT2_Celegans_HCW_P1C09.mzXML","expt_1","P1C09",1
"WAN1100427_OT2_Celegans_HCW_P1C10.mzXML","expt_1","P1C10",1
"WAN1100427_OT2_Celegans_HCW_P1C11.mzXML","expt_1","P1C11",1
"WAN1100427_OT2_Celegans_HCW_P1C12.mzXML","expt_1","P1C12",1
"WAN1100427_OT2_Celegans_HCW_P1D01.mzXML","expt_1","P1D01",1
"WAN1100427_OT2_Celegans_HCW_P1D02.mzXML","expt_1","P1D02",1
"WAN1100427_OT2_Celegans_HCW_P1D03.mzXML","expt_1","P1D03",1
"WAN1100427_OT2_Celegans_HCW_P1D04.mzXML","expt_1","P1D04",1
"WAN1100427_OT2_Celegans_HCW_P1D05.mzXML","expt_1","P1D05",1
"WAN1100427_OT2_Celegans_HCW_P1D06.mzXML","expt_1","P1D06",1
"WAN1100427_OT2_Celegans_HCW_P1D07.mzXML","expt_1","P1D07",1
"WAN1100427_OT2_Celegans_HCW_P1D08.mzXML","expt_1","P1D08",1
"WAN1100427_OT2_Celegans_HCW_P1D09.mzXML","expt_1","P1D09",1
