Name	Fraction	Experiment
PTSS4538SN18961	34	E3019_34
PTSS4538SN18962	35	E3019_35
PTSS4538SN18963	36	E3019_36
PTSS4538SN18964	37	E3019_37
PTSS4538SN18965	38	E3019_38
PTSS4538SN18966	39	E3019_39
PTSS4538SN18967	40	E3019_40
PTSS4538SN18968	41	E3019_41
PTSS4538SN18969	42	E3019_42
PTSS4538SN18970	43	E3019_43
PTSS4538SN18971	44	E3019_44
PTSS4538SN18972	45	E3019_45
PTSS4538SN18973	46	E3019_46
PTSS4538SN18974	47	E3019_47
PTSS4538SN18975	48	E3019_48
PTSS4538SN18976	1	E3021_01
PTSS4538SN18977	2	E3021_02
PTSS4538SN18978	3	E3021_03
PTSS4538SN18979	4	E3021_04
PTSS4538SN18980	5	E3021_05
PTSS4538SN18981	6	E3021_06
PTSS4538SN18982	7	E3021_07
PTSS4538SN18983	8	E3021_08
PTSS4538SN18984	9	E3021_09
PTSS4538SN18985	10	E3021_10
PTSS4538SN18986	11	E3021_11
PTSS4538SN18987	12	E3021_12
PTSS4538SN18988	13	E3021_13
PTSS4538SN18989	14	E3021_14
PTSS4538SN18990	15	E3021_15
PTSS4538SN18991	16	E3021_16
PTSS4538SN18992	17	E3021_17
PTSS4538SN18993	18	E3021_18
PTSS4538SN18994	19	E3021_19
PTSS4538SN18995	20	E3021_20
PTSS4538SN18996	21	E3021_21
PTSS4538SN18997	22	E3021_22
PTSS4538SN18998	23	E3021_23
PTSS4538SN18999	24	E3021_24
PTSS4538SN19000	25	E3021_25
PTSS4538SN19001	26	E3021_26
PTSS4538SN19002	27	E3021_27
PTSS4538SN19003	28	E3021_28
PTSS4538SN19004	29	E3021_29
PTSS4538SN19005	30	E3021_30
PTSS4538SN19006	31	E3021_31
PTSS4538SN19007	32	E3021_32
PTSS4538SN19008	33	E3021_33
PTSS4538SN19009	34	E3021_34
PTSS4538SN19010	35	E3021_35
PTSS4538SN19011	36	E3021_36
PTSS4538SN19012	37	E3021_37
PTSS4538SN19013	38	E3021_38
PTSS4538SN19014	39	E3021_39
PTSS4538SN19015	40	E3021_40
PTSS4538SN19016	41	E3021_41
PTSS4538SN19017	42	E3021_42
PTSS4538SN19018	43	E3021_43
PTSS4538SN19019	44	E3021_44
PTSS4538SN19020	45	E3021_45
PTSS4538SN19021	46	E3021_46
PTSS4538SN19022	47	E3021_47
PTSS4538SN19023	48	E3021_48
PTSS4538SN19024	1	E3023_01
PTSS4538SN19025	2	E3023_02
PTSS4538SN19026	3	E3023_03
PTSS4538SN19027	4	E3023_04
PTSS4538SN19028	5	E3023_05
PTSS4538SN19029	6	E3023_06
PTSS4538SN19030	7	E3023_07
PTSS4538SN19031	8	E3023_08
PTSS4538SN19032	9	E3023_09
PTSS4538SN19033	10	E3023_10
PTSS4538SN19034	11	E3023_11
PTSS4538SN19035	12	E3023_12
PTSS4538SN19036	13	E3023_13
PTSS4538SN19037	14	E3023_14
PTSS4538SN19038	15	E3023_15
PTSS4538SN19039	16	E3023_16
PTSS4538SN19040	17	E3023_17
PTSS4538SN19041	18	E3023_18
PTSS4538SN19042	19	E3023_19
PTSS4538SN19043	20	E3023_20
PTSS4538SN19044	21	E3023_21
PTSS4538SN19045	22	E3023_22
PTSS4538SN19046	23	E3023_23
PTSS4538SN19047	24	E3023_24
PTSS4538SN19048	25	E3023_25
PTSS4538SN19049	26	E3023_26
PTSS4538SN19050	27	E3023_27
PTSS4538SN19051	28	E3023_28
PTSS4538SN19052	29	E3023_29
PTSS4538SN19053	30	E3023_30
PTSS4538SN19054	31	E3023_31
PTSS4538SN19055	32	E3023_32
PTSS4538SN19056	33	E3023_33
PTSS4538SN19057	34	E3023_34
PTSS4538SN19058	35	E3023_35
PTSS4538SN19059	36	E3023_36
PTSS4538SN19060	37	E3023_37
PTSS4538SN19061	38	E3023_38
PTSS4538SN19062	39	E3023_39
PTSS4538SN19063	40	E3023_40
PTSS4538SN19064	41	E3023_41
PTSS4538SN19065	42	E3023_42
PTSS4538SN19066	43	E3023_43
PTSS4538SN19067	44	E3023_44
PTSS4538SN19068	45	E3023_45
PTSS4538SN19069	46	E3023_46
PTSS4538SN19070	47	E3023_47
PTSS4538SN19071	48	E3023_48
PTSS4538SN19072	1	E3025_01
PTSS4538SN19073	2	E3025_02
PTSS4538SN19074	3	E3025_03
PTSS4538SN19075	4	E3025_04
PTSS4538SN19076	5	E3025_05
PTSS4538SN19077	6	E3025_06
PTSS4538SN19078	7	E3025_07
PTSS4538SN19079	8	E3025_08
PTSS4538SN19080	9	E3025_09
PTSS4538SN19081	10	E3025_10
PTSS4538SN19082	11	E3025_11
PTSS4538SN19083	12	E3025_12
PTSS4538SN19084	13	E3025_13
PTSS4538SN19085	14	E3025_14
PTSS4538SN19086	15	E3025_15
PTSS4538SN19087	16	E3025_16
PTSS4538SN19088	17	E3025_17
PTSS4538SN19089	18	E3025_18
PTSS4538SN19090	19	E3025_19
PTSS4538SN19091	20	E3025_20
PTSS4538SN19092	21	E3025_21
PTSS4538SN19093	22	E3025_22
PTSS4538SN19094	23	E3025_23
PTSS4538SN19095	24	E3025_24
PTSS4538SN19096	25	E3025_25
PTSS4538SN19097	26	E3025_26
PTSS4538SN19098	27	E3025_27
PTSS4538SN19099	28	E3025_28
PTSS4538SN19100	29	E3025_29
PTSS4538SN19101	30	E3025_30
PTSS4538SN19102	31	E3025_31
PTSS4538SN19103	32	E3025_32
PTSS4538SN19104	33	E3025_33
PTSS4538SN19105	34	E3025_34
PTSS4538SN19106	35	E3025_35
PTSS4538SN19107	36	E3025_36
PTSS4538SN19108	37	E3025_37
PTSS4538SN19109	38	E3025_38
PTSS4538SN19110	39	E3025_39
PTSS4538SN19111	40	E3025_40
PTSS4538SN19112	41	E3025_41
PTSS4538SN19113	42	E3025_42
PTSS4538SN19114	43	E3025_43
PTSS4538SN19115	44	E3025_44
PTSS4538SN19116	45	E3025_45
PTSS4538SN19117	46	E3025_46
PTSS4538SN19118	47	E3025_47
PTSS4538SN19119	48	E3025_48
