Name	Fraction	Experiment
PTSS4538SN18880	1	E3017_01
PTSS4538SN18881	2	E3017_02
PTSS4538SN18882	3	E3017_03
PTSS4538SN18883	4	E3017_04
PTSS4538SN18884	5	E3017_05
PTSS4538SN18885	6	E3017_06
PTSS4538SN18886	7	E3017_07
PTSS4538SN18887	8	E3017_08
PTSS4538SN18888	9	E3017_09
PTSS4538SN18889	10	E3017_10
PTSS4538SN18890	11	E3017_11
PTSS4538SN18891	12	E3017_12
PTSS4538SN18892	13	E3017_13
PTSS4538SN18893	14	E3017_14
PTSS4538SN18894	15	E3017_15
PTSS4538SN18895	16	E3017_16
PTSS4538SN18896	17	E3017_17
PTSS4538SN18897	18	E3017_18
PTSS4538SN18898	19	E3017_19
PTSS4538SN18899	20	E3017_20
PTSS4538SN18900	21	E3017_21
PTSS4538SN18901	22	E3017_22
PTSS4538SN18902	23	E3017_23
PTSS4538SN18903	24	E3017_24
PTSS4538SN18904	25	E3017_25
PTSS4538SN18905	26	E3017_26
PTSS4538SN18906	27	E3017_27
PTSS4538SN18907	28	E3017_28
PTSS4538SN18908	29	E3017_29
PTSS4538SN18909	30	E3017_30
PTSS4538SN18910	31	E3017_31
PTSS4538SN18911	32	E3017_32
PTSS4538SN18912	33	E3017_33
PTSS4538SN18913	34	E3017_34
PTSS4538SN18914	35	E3017_35
PTSS4538SN18915	36	E3017_36
PTSS4538SN18916	37	E3017_37
PTSS4538SN18917	38	E3017_38
PTSS4538SN18918	39	E3017_39
PTSS4538SN18919	40	E3017_40
PTSS4538SN18920	41	E3017_41
PTSS4538SN18921	42	E3017_42
PTSS4538SN18922	43	E3017_43
PTSS4538SN18923	44	E3017_44
PTSS4538SN18924	45	E3017_45
PTSS4538SN18925	46	E3017_46
PTSS4538SN18926	47	E3017_47
PTSS4538SN18927	48	E3017_48
PTSS4538SN18928	1	E3019_01
PTSS4538SN18929	2	E3019_02
PTSS4538SN18930	3	E3019_03
PTSS4538SN18931	4	E3019_04
PTSS4538SN18932	5	E3019_05
PTSS4538SN18933	6	E3019_06
PTSS4538SN18934	7	E3019_07
PTSS4538SN18935	8	E3019_08
PTSS4538SN18936	9	E3019_09
PTSS4538SN18937	10	E3019_10
PTSS4538SN18938	11	E3019_11
PTSS4538SN18939	12	E3019_12
PTSS4538SN18940	13	E3019_13
PTSS4538SN18941	14	E3019_14
PTSS4538SN18942	15	E3019_15
PTSS4538SN18943	16	E3019_16
PTSS4538SN18944	17	E3019_17
PTSS4538SN18945	18	E3019_18
PTSS4538SN18946	19	E3019_19
PTSS4538SN18947	20	E3019_20
PTSS4538SN18948	21	E3019_21
PTSS4538SN18949	22	E3019_22
PTSS4538SN18950	23	E3019_23
PTSS4538SN18951	24	E3019_24
PTSS4538SN18952	25	E3019_25
PTSS4538SN18953	26	E3019_26
PTSS4538SN18954	27	E3019_27
PTSS4538SN18955	28	E3019_28
PTSS4538SN18956	29	E3019_29
PTSS4538SN18957	30	E3019_30
PTSS4538SN18958	31	E3019_31
PTSS4538SN18959	32	E3019_32
PTSS4538SN18960	33	E3019_33
