Name	Fraction	Experiment
PT4651-146	2	E3026_02
PT4651-147	3	E3026_03
PT4651-148	4	E3026_04
PT4651-149	5	E3026_05
PT4651-150	6	E3026_06
PT4651-151	7	E3026_07
PT4651-152	8	E3026_08
PT4651-153	9	E3026_09
PT4651-154	10	E3026_10
PT4651-155	11	E3026_11
PT4651-156	12	E3026_12
PT4651-157	13	E3026_13
PT4651-158	14	E3026_14
PT4651-159	15	E3026_15
PT4651-160	16	E3026_16
PT4651-161	17	E3026_17
PT4651-162	18	E3026_18
PT4651-163	19	E3026_19
PT4651-164	20	E3026_20
PT4651-165	21	E3026_21
PT4651-166	22	E3026_22
PT4651-167	23	E3026_23
PT4651-168	24	E3026_24
PT4651-169	25	E3026_25
PT4651-170	26	E3026_26
PT4651-171	27	E3026_27
PT4651-172	28	E3026_28
PT4651-173	29	E3026_29
PT4651-174	30	E3026_30
PT4651-175	31	E3026_31
PT4651-176	32	E3026_32
PT4651-177	33	E3026_33
PT4651-178	34	E3026_34
PT4651-179	35	E3026_35
PT4651-180	36	E3026_36
PT4651-181	37	E3026_37
PT4651-182	38	E3026_38
PT4651-183	39	E3026_39
PT4651-184	40	E3026_40
PT4651-185	41	E3026_41
PT4651-186	42	E3026_42
PT4651-187	43	E3026_43
PT4651-188	44	E3026_44
PT4651-189	45	E3026_45
PT4651-190	46	E3026_46
PT4651-191	47	E3026_47
PT4651-192	48	E3026_48
PT4651-193	1	E3027_01
PT4651-194	2	E3027_02
PT4651-195	3	E3027_03
PT4651-196	4	E3027_04
PT4651-197	5	E3027_05
PT4651-198	6	E3027_06
PT4651-199	7	E3027_07
PT4651-200	8	E3027_08
PT4651-201	9	E3027_09
PT4651-202	10	E3027_10
PT4651-203	11	E3027_11
PT4651-204	12	E3027_12
PT4651-205	13	E3027_13
PT4651-206	14	E3027_14
PT4651-207	15	E3027_15
PT4651-208	16	E3027_16
PT4651-209	17	E3027_17
PT4651-210	18	E3027_18
PT4651-211	19	E3027_19
PT4651-212	20	E3027_20
PT4651-213	21	E3027_21
PT4651-214	22	E3027_22
PT4651-215	23	E3027_23
PT4651-216	24	E3027_24
PT4651-217	25	E3027_25
PT4651-218	26	E3027_26
PT4651-219	27	E3027_27
PT4651-220	28	E3027_28
PT4651-221	29	E3027_29
PT4651-222	30	E3027_30
PT4651-223	31	E3027_31
PT4651-224	32	E3027_32
PT4651-225	33	E3027_33
PT4651-226	34	E3027_34
PT4651-227	35	E3027_35
PT4651-228	36	E3027_36
PT4651-229	37	E3027_37
PT4651-230	38	E3027_38
PT4651-231	39	E3027_39
PT4651-232	40	E3027_40
PT4651-233	41	E3027_41
PT4651-234	42	E3027_42
PT4651-235	43	E3027_43
PT4651-236	44	E3027_44
PT4651-237	45	E3027_45
PT4651-238	46	E3027_46
PT4651-239	47	E3027_47
PT4651-240	48	E3027_48
