Name	Fraction	Experiment
PT4651-1	1	E3020_01
PT4651-2	2	E3020_02
PT4651-3	3	E3020_03
PT4651-4	4	E3020_04
PT4651-5	5	E3020_05
PT4651-6	6	E3020_06
PT4651-7	7	E3020_07
PT4651-8	8	E3020_08
PT4651-9	9	E3020_09
PT4651-10	10	E3020_10
PT4651-11	11	E3020_11
PT4651-12	12	E3020_12
PT4651-13	13	E3020_13
PT4651-14	14	E3020_14
PT4651-15	15	E3020_15
PT4651-16	16	E3020_16
PT4651-17	17	E3020_17
PT4651-18	18	E3020_18
PT4651-19	19	E3020_19
PT4651-20	20	E3020_20
PT4651-21	21	E3020_21
PT4651-22	22	E3020_22
PT4651-23	23	E3020_23
PT4651-24	24	E3020_24
PT4651-25	25	E3020_25
PT4651-26	26	E3020_26
PT4651-27	27	E3020_27
PT4651-28	28	E3020_28
PT4651-29	29	E3020_29
PT4651-30	30	E3020_30
PT4651-31	31	E3020_31
PT4651-32	32	E3020_32
PT4651-33	33	E3020_33
PT4651-34	34	E3020_34
PT4651-35	35	E3020_35
PT4651-36	36	E3020_36
PT4651-37	37	E3020_37
PT4651-38	38	E3020_38
PT4651-39	39	E3020_39
PT4651-40	40	E3020_40
PT4651-41	41	E3020_41
PT4651-42	42	E3020_42
PT4651-43	43	E3020_43
PT4651-44	44	E3020_44
PT4651-45	45	E3020_45
PT4651-46	46	E3020_46
PT4651-47	47	E3020_47
PT4651-48	48	E3020_48
PT4651-49	1	E3022_01
PT4651-50	2	E3022_02
PT4651-51	3	E3022_03
PT4651-52	4	E3022_04
PT4651-53	5	E3022_05
PT4651-54	6	E3022_06
PT4651-55	7	E3022_07
PT4651-56	8	E3022_08
PT4651-57	9	E3022_09
PT4651-58	10	E3022_10
PT4651-59	11	E3022_11
PT4651-60	12	E3022_12
PT4651-61	13	E3022_13
PT4651-62	14	E3022_14
PT4651-63	15	E3022_15
PT4651-64	16	E3022_16
PT4651-65	17	E3022_17
PT4651-66	18	E3022_18
PT4651-67	19	E3022_19
PT4651-68	20	E3022_20
PT4651-69	21	E3022_21
PT4651-70	22	E3022_22
PT4651-71	23	E3022_23
PT4651-72	24	E3022_24
PT4651-73	25	E3022_25
PT4651-74	26	E3022_26
PT4651-75	27	E3022_27
PT4651-76	28	E3022_28
PT4651-77	29	E3022_29
PT4651-78	30	E3022_30
PT4651-79	31	E3022_31
PT4651-80	32	E3022_32
PT4651-81	33	E3022_33
PT4651-82	34	E3022_34
PT4651-83	35	E3022_35
PT4651-84	36	E3022_36
PT4651-85	37	E3022_37
PT4651-86	38	E3022_38
PT4651-87	39	E3022_39
PT4651-88	40	E3022_40
PT4651-89	41	E3022_41
PT4651-90	42	E3022_42
PT4651-91	43	E3022_43
PT4651-92	44	E3022_44
PT4651-93	45	E3022_45
PT4651-94	46	E3022_46
PT4651-95	47	E3022_47
PT4651-96	48	E3022_48
PT4651-97	1	E3024_01
PT4651-98	2	E3024_02
PT4651-99	3	E3024_03
PT4651-100	4	E3024_04
PT4651-101	5	E3024_05
PT4651-102	6	E3024_06
PT4651-103	7	E3024_07
PT4651-104	8	E3024_08
PT4651-105	9	E3024_09
PT4651-106	10	E3024_10
PT4651-107	11	E3024_11
PT4651-108	12	E3024_12
PT4651-109	13	E3024_13
PT4651-110	14	E3024_14
PT4651-111	15	E3024_15
PT4651-112	16	E3024_16
PT4651-113	17	E3024_17
PT4651-114	18	E3024_18
PT4651-115	19	E3024_19
PT4651-116	20	E3024_20
PT4651-117	21	E3024_21
PT4651-118	22	E3024_22
PT4651-119	23	E3024_23
PT4651-120	24	E3024_24
PT4651-121	25	E3024_25
PT4651-122	26	E3024_26
PT4651-123	27	E3024_27
PT4651-124	28	E3024_28
PT4651-125	29	E3024_29
PT4651-126	30	E3024_30
PT4651-127	31	E3024_31
PT4651-128	32	E3024_32
PT4651-129	33	E3024_33
PT4651-130	34	E3024_34
PT4651-131	35	E3024_35
PT4651-132	36	E3024_36
PT4651-133	37	E3024_37
PT4651-134	38	E3024_38
PT4651-135	39	E3024_39
PT4651-136	40	E3024_40
PT4651-137	41	E3024_41
PT4651-138	42	E3024_42
PT4651-139	43	E3024_43
PT4651-140	44	E3024_44
PT4651-141	45	E3024_45
PT4651-142	46	E3024_46
PT4651-143	47	E3024_47
PT4651-144	48	E3024_48
PT4651-145	1	E3026_01
