"filename","replicate","experiment","fraction"
"031815_ZM_At_microSEC_superose1_15.wiff","Superose1","F15",1
"031815_ZM_At_microSEC_superose1_16.wiff","Superose1","F16",1
"031815_ZM_At_microSEC_superose1_17.wiff","Superose1","F17",1
"031815_ZM_At_microSEC_superose1_18.wiff","Superose1","F18",1
"031815_ZM_At_microSEC_superose1_19.wiff","Superose1","F19",1
"031815_ZM_At_microSEC_superose1_20.wiff","Superose1","F20",1
"031815_ZM_At_microSEC_superose1_21.wiff","Superose1","F21",1
"031815_ZM_At_microSEC_superose1_22.wiff","Superose1","F22",1
"031815_ZM_At_microSEC_superose1_23.wiff","Superose1","F23",1
"031815_ZM_At_microSEC_superose1_24.wiff","Superose1","F24",1
"031815_ZM_At_microSEC_superose1_25.wiff","Superose1","F25",1
"062315_ZM_At_microSEC_superdex_15_2_A.wiff","Superdex2","F15",1
"062315_ZM_At_microSEC_superdex_16_1_A.wiff","Superdex1","F16",1
"062315_ZM_At_microSEC_superdex_16_1_B.wiff","Superdex1","F16",2
"062315_ZM_At_microSEC_superdex_16_2_A.wiff","Superdex2","F16",1
"062315_ZM_At_microSEC_superdex_17_1_A.wiff","Superdex1","F17",1
"062315_ZM_At_microSEC_superdex_17_2_A.wiff","Superdex2","F17",1
"062315_ZM_At_microSEC_superdex_18_1_A.wiff","Superdex1","F18",1
"062315_ZM_At_microSEC_superdex_18_2_A.wiff","Superdex2","F18",1
"062315_ZM_At_microSEC_superdex_19_1_A.wiff","Superdex1","F19",1
"062315_ZM_At_microSEC_superdex_19_2-A.wiff","Superdex2","F19",1
"062315_ZM_At_microSEC_superdex_20_1_A.wiff","Superdex1","F20",1
"062315_ZM_At_microSEC_superdex_20_2_A.wiff","Superdex2","F20",1
"062315_ZM_At_microSEC_superdex_21_1_A.wiff","Superdex1","F21",1
"062315_ZM_At_microSEC_superdex_21_2_A.wiff","Superdex2","F21",1
"062315_ZM_At_microSEC_superdex_22_1_A.wiff","Superdex1","F22",1
"062315_ZM_At_microSEC_superdex_22_2_A.wiff","Superdex2","F22",1
"062315_ZM_At_microSEC_superdex_23_1_A.wiff","Superdex1","F23",1
"062315_ZM_At_microSEC_superdex_23_2_A.wiff","Superdex2","F23",1
"062315_ZM_At_microSEC_superdex_24_1_A.wiff","Superdex1","F24",1
"062315_ZM_At_microSEC_superdex_24_2_A.wiff","Superdex2","F24",1
"062315_ZM_At_microSEC_superdex_25_1_A.wiff","Superdex1","F25",1
"062315_ZM_At_microSEC_superdex_25_2_A.wiff","Superdex2","F25",1
"062315_ZM_At_microSEC_superdex_26_1_A.wiff","Superdex1","F26",1
"062315_ZM_At_microSEC_superdex_26_2_A.wiff","Superdex2","F26",1
"062315_ZM_At_microSEC_superdex_27_1_A.wiff","Superdex1","F27",1
"062315_ZM_At_microSEC_superdex_27_2_A.wiff","Superdex2","F27",1
"062315_ZM_At_microSEC_superdex_28_1_A.wiff","Superdex1","F28",1
"062315_ZM_At_microSEC_superdex_28_2_A.wiff","Superdex2","F28",1
"062315_ZM_At_microSEC_superdex_29_1_A.wiff","Superdex1","F29",1
"062315_ZM_At_microSEC_superdex_29_2_A.wiff","Superdex2","F29",1
"062315_ZM_At_microSEC_superdex_30_1_A.wiff","Superdex1","F30",1
"062315_ZM_At_microSEC_superdex_30_2_A.wiff","Superdex2","F30",1
"062315_ZM_At_microSEC_superdex_31_1_A.wiff","Superdex1","F31",1
"062315_ZM_At_microSEC_superdex_31_2_A.wiff","Superdex2","F31",1
"062315_ZM_At_microSEC_superdex_32_1_A.wiff","Superdex1","F32",1
"062315_ZM_At_microSEC_superdex_32_2_A.wiff","Superdex2","F32",1
"062315_ZM_At_microSEC_superdex_33_1_A.wiff","Superdex1","F33",1
"062315_ZM_At_microSEC_superdex_33_2_A.wiff","Superdex2","F33",1
"062315_ZM_At_microSEC_superdex_34_1_A.wiff","Superdex1","F34",1
"062315_ZM_At_microSEC_superdex_34_2_A.wiff","Superdex2","F34",1
"062315_ZM_At_microSEC_superdex_35_1_A.wiff","Superdex1","F35",1
"062315_ZM_At_microSEC_superdex_35_2_A.wiff","Superdex2","F35",1
"062315_ZM_At_microSEC_superdex_36_1_A.wiff","Superdex1","F36",1
"062315_ZM_At_microSEC_superdex_36_2_A.wiff","Superdex2","F36",1
"062315_ZM_At_microSEC_superdex_37_1_A.wiff","Superdex1","F37",1
"062315_ZM_At_microSEC_superdex_37_2_A.wiff","Superdex2","F37",1
"062315_ZM_At_microSEC_superdex_38_1_A.wiff","Superdex1","F38",1
"062315_ZM_At_microSEC_superdex_38_2_A.wiff","Superdex2","F38",1
"062315_ZM_At_microSEC_superose_15_2_A.wiff","Superose2","F15",1
"062315_ZM_At_microSEC_superose_16_2_A.wiff","Superose2","F16",1
"062315_ZM_At_microSEC_superose_17_2_A.wiff","Superose2","F17",1
"062315_ZM_At_microSEC_superose_18_2_A.wiff","Superose2","F18",1
"062315_ZM_At_microSEC_superose_19_2_A.wiff","Superose2","F19",1
"062315_ZM_At_microSEC_superose_20_2_A.wiff","Superose2","F20",1
"062315_ZM_At_microSEC_superose_21_2_A.wiff","Superose2","F21",1
"062315_ZM_At_microSEC_superose_22_2_A.wiff","Superose2","F22",1
"062315_ZM_At_microSEC_superose_23_2_A.wiff","Superose2","F23",1
"062315_ZM_At_microSEC_superose_24_2_A.wiff","Superose2","F24",1
"062315_ZM_At_microSEC_superose_25_2_A.wiff","Superose2","F25",1
